## JavaScript / TypeScript

**JS1 — Easy:** `var` is function-scoped and hoisted to the top of its scope. `let` and `const` are block-scoped and reside in a "Temporal Dead Zone" until declared. Hoisting is the JS engine's behavior of moving declarations to the top of their scope during the compilation phase before code execution.

**JS2 — Easy:** The event loop allows JS to perform non-blocking I/O operations despite being single-threaded. It processes tasks from three queues: **Call Stack** (synchronous code), **Microtask Queue** (Promises, MutationObserver), and **Macrotask Queue** (setTimeout, I/O). Order: Execute stack -> Empty Microtasks -> Next Macrotask.

**JS3 — Medium:** A closure is a function that remembers its lexical environment even when executed outside that scope. Example: A counter factory returning an incrementing function. The classic bug occurs when using `var` inside a loop with closures; since `var` is function-scoped, every closure shares the same variable value. Fix: Use `let`, which creates a new binding for each iteration.

**JS4 — Medium:** Promises represent eventual completion/failure of an async operation. `async/await` provides syntactic sugar over Promises. Error handling uses `.catch()` or `try/catch`. `Promise.all` rejects if *any* promise fails; `Promise.allSettled` waits for all promises to finish regardless of success/failure status.

**JS5 — Medium:** Interfaces are structural types used primarily for defining shapes (cannot have implementation logic); Types can be aliases or unions. Discriminated Unions use a common literal property (e.g., `type: "success"`) to allow TypeScript to narrow down specific types within a union safely.

**JS6 — Medium:** Prototypal inheritance means objects inherit properties from a prototype object in a chain. `Object.create(proto)` creates a new object with a specific prototype. ES6 classes are syntactical sugar over this system—they don't create a new inheritance model but simplify how we interact with prototypes.

**JS7 — Hard:** The `this` keyword refers to the execution context. Binding rules (priority): 1. New (constructor), 2. Explicit (`call`/`apply`/`bind`), 3. Implicit (method call), 4. Default (global/undefined). `bind()` returns a *new* function with a fixed `this`; you cannot re-bind a function that was already bound via `.bind()`.

**JS8 — Hard:** `WeakRef` allows holding a reference to an object without preventing it from being garbage collected. `FinalizationRegistry` allows running a callback after an object is GC'd. `WeakMap` keys must be objects because they hold weak references; if they were primitives, the engine couldn't track their lifecycle for GC purposes.

**JS9 — Hard:** V8 optimizes by creating "Hidden Classes" (internal shapes) and using Inline Caching (caching property lookups). Deoptimization occurs when code changes types unexpectedly (e.g., adding properties in different orders or changing array element types), forcing the engine to drop back to slower interpreted paths.

**JS10 — Medium:** Tree-shaking removes unused exports during build time. It works well with ES Modules (ESM) because imports are static. CommonJS (CJS) uses dynamic `require()`, making it impossible for compilers to determine what will actually be used at runtime.

**JS11 — Easy:** `null` is intentional absence of value; `undefined` means a variable has been declared but not assigned. `==` performs type coercion (`null == undefined` is true); `===` does not. Nullish coalescing (`??`) returns right side only if left is `null`/`undefined`. Optional chaining (`?.`) prevents errors on null/undefined nested properties.

**JS12 — Easy:** `map()` transforms every item; `filter()` selects items based on a predicate; `reduce()` accumulates values into a single result. If no initial value is provided, `reduce` uses the first array element as the accumulator. `flatMap()` maps then flattens one level deep—useful for generating lists where one input might produce multiple outputs.

**JS13 — Easy:** Template literals use backticks (\`...\`) and `${}` interpolation. Tagged templates allow passing string parts to a function: `` const html = myTag`<div>${val}</div>`; ``. This is useful for SQL query escaping or HTML sanitization by processing variables before they enter the string.

**JS14 — Easy:** Destructuring extracts values from arrays/objects into distinct variables. Object destructuring allows `{a, b} = obj`, Array destructuring allows `[x, y] = [1, 2]`. Default values (e.g., `{a = 1}`) provide fallbacks. The rest operator `...rest` collects remaining elements into an array or object.

**JS15 — Easy:** `for...in` iterates over enumerable property keys (including prototype chain); `for...of` iterates over iterable values. Avoid `for...in` on arrays because it can include inherited properties and does not guarantee order; `for...of` or `.forEach()` are preferred.

**JS16 — Medium:** Generics `<T>` allow creating reusable components with type safety. Constraints (`<T extends string>`) limit types allowed. Conditional Types (`T extends U ? X : Y`) act like ternary operators for types. `infer` allows extracting types from complex structures (like `ReturnType<T>`).

**JS17 — Medium:** CommonJS uses `require`/`module.exports` (synchronous). ESM uses `import`/`export` (static/async-capable). Node handles both but requires `"type": "module"` in `package.json` to treat `.js` files as ES Modules instead of CJS.

**JS18 — Hard:** TS is structural: if it looks like a duck, it's a duck. Excess property checks only apply when assigning to literal objects. `extends` defines subtyping (widening), while `satisfies` validates that an expression matches a type without widening the inferred type. Variance determines how types relate across generic boundaries.

**JS19 — Hard:** Proxy intercepts object operations (get, set, etc.); Reflect provides methods that mirror these internal ops. Example: A Proxy can be used to create a reactive state system by intercepting 'set' and triggering UI updates automatically.

**JS20 — Hard:** `SharedArrayBuffer` allows multiple Web Workers to share memory. `Atomics` provide thread-safe operations (wait/notify) on this shared buffer. This avoids data races by ensuring atomic access to specific indices in the buffer.

## Bash

**B1 — Easy:** `$@` expands all arguments as separate words; `$*` expands them as a single string joined by spaces. Quoting matters: `"$@"` preserves spaces between args, whereas `"$*"` joins them into one word.

**B2 — Easy:** `set -euo pipefail`: `-e` exits immediately on error; `-u` errors on unset variables; `-o pipefail` ensures a pipeline returns non-zero if any command in it fails (otherwise only the last command counts).

**B3 — Medium:** `$(command)` is command substitution; `` `command` `` is the older backtick syntax. $((expression)) performs arithmetic expansion; `expr` is an external utility for math (now mostly replaced by `$((...))`).

**B4 — Medium:** Process substitution `<(command)` makes the output of a command look like a file path. Example: `diff <(ls dir1) <(ls dir2)` compares two directory listings without creating temporary files.

**B5 — Medium:** Use globbing with quotes or `find . -print0 | xargs -0`. `for f in $(ls)` is dangerous because filenames containing spaces/newlines will be split into multiple incorrect tokens.

**B6 — Easy:** Here Document (`<<EOF`) allows multi-line input until a delimiter. Here String (`<<<`) passes a string to stdin. `<<-EOF` ignores leading tabs but not spaces, useful for indented code blocks.

**B7 — Hard:** 
1. `cmd > file 2>&1`: Redirects stdout to file, then stderr to where stdout *was* going (the file). Correct behavior.
2. `cmd 2>&1 > file`: Redirects stderr to current stdout (terminal), then redirects stdout to file. Stderr stays on terminal.
3. `cmd &> file`: Shorthand for both; sends everything to the same file.

**B8 — Hard:** A lock file should use `mkdir /tmp/lock` because `mkdir` is an atomic operation at the OS level—if it exists, it fails immediately. The function would trap `SIGTERM`/`INT`, run a cleanup command to `rmdir` the directory, and return status codes.

**B9 — Easy:** Single quotes ('') are literal strings. Double quotes ("") allow variable expansion ($VAR) and backticks. No quotes treat words as separate arguments and enable globbing (e.g., `ls *.txt`).

**B10 — Easy:** `-f` (file), `-d` (directory), `-r` (readable). `[[ ]]` is more powerful than `[ ]`; it supports regex (`=~`), logical operators (`&&`, `||`), and handles empty variables safely without extra quoting.

**B11 — Easy:** `$?` exit code of last command; `$$` PID of current shell; `!` last non-zero exit code; `#` number of positional parameters passed to script.

**B12 — Easy:** Functions: `foo() { ... }` or `function foo { ... }`. Difference is minor but `function` keyword allows for local scope in some contexts. Return values are usually handled by echoing output or setting a global/local variable.

**B13 — Easy:** PATH is an environment variable listing directories searched for executables. Builtin commands (like `cd`) run inside the shell; external commands (like `/bin/ls`) are executed as child processes. Use `type <cmd>` to check which one is being used.

**B14 — Medium:** `trap 'cleanup_cmd' SIGNAL` catches signals like EXIT, ERR, INT, TERM. If multiple arrive simultaneously, they execute in order of definition. Trap ensures cleanup even if the script crashes or is interrupted.

**B15 — Medium:** Command substitution runs once per call; `xargs` takes a list of inputs and builds a command line. `xargs -0` combined with `find -print0` handles filenames with spaces/newlines safely. `-P` enables parallel execution of xargs tasks.

**B16 — Medium:** Arrays: `arr=(); arr+=("val")`, length `${#arr[@]}`. Associative arrays: `declare -A map; map[key]=val`, length `${#map[@]}`. Associative arrays require explicit declaration and support string keys.

**B17 — Hard:** Subshell `(...)` creates a new process; `{ ...; }` executes code in current shell but limits scope. Piping into a while loop (`echo "hi" | while read...`) puts the loop in a subshell, meaning variables modified inside are lost when the pipe ends.

**B18 — Hard:** SIGINT (Ctrl+C), SIGTERM (standard kill), SIGHUP (terminal hangup), SIGKILL (forced). Graceful shutdown involves trapping TERM/INT to run cleanup functions before exiting, ensuring background jobs are killed via `kill 0`.

**B19 — Hard:** Use `split` to break large logs into chunks -> `xargs -P <num_cores>` to run processing function in parallel -> use a temporary directory for results -> `cat` or `sort` to merge. Error propagation is handled by checking exit codes within the parallelized function.

**B20 — Hard:** `exec` replaces the current shell process with another command. For file descriptors: `exec 3>file` opens FD 3. Coprocesses `<&` allow two-way communication between processes without standard pipes.

## PowerShell

**PS1 — Easy:** `Write-Output` sends data down the pipeline; `Write-Host` writes directly to the console host. Using `Write-Host` breaks pipelines because it doesn't pass objects forward.

**PS2 — Easy:** The pipeline passes objects from one cmdlet to the next. `ForEach-Object` is used inside a pipeline (`Get-Item | ForEach-Object {...}`); `foreach` statement is a language construct for iterating over collections already stored in memory.

**PS3 — Medium:** `[pscustomobject]` creates an object with properties (better for output/formatting); `[hashtable]` is a key-value map (better for lookups). Convert via `[pscustomobject]@{Key=Val}`.

**PS4 — Medium:** Terminating errors stop execution; non-terminating don't. `-ErrorAction` sets behavior per call, `$ErrorActionPreference` sets global default. Try/Catch only catches terminating errors unless `-ErrorAction Stop` is used.

**PS5 — Medium:** Splatting uses a hashtable to pass parameters: `@params = @{Path="..."; -Force}` then `MyCmdment @params`. This improves readability and allows dynamic parameter construction compared to passing a single raw hashtable as a value.

**PS6 — Medium:** `Invoke-Command` runs commands on remote machines; `Enter-PSSession` provides interactive shell access. Both use WinRM (Windows Remote Management) or SSH (in PS7+), relying on Kerberos/NTLM authentication.

**PS7 — Hard:** PowerShell pipelines are "lazy" and handle objects. The example returns a `System.Object[]` because the function returns an array of strings. If it returned 0 items, it would return `$null`. Correct pattern: Use explicit types or cast results to ensure consistent object shapes in the pipeline.

**PS8 — Hard:** Scriptblocks `{...}` are code blocks passed as data; functions are named entities. Double-hop problem occurs when a session hops from Client -> Server A -> Server B, losing credentials at Server B. Solve via CredSSP or by using `Invoke-Command -ArgumentList` to pass specific values.

**PS9 — Easy:** `@()` ensures the result is an array even if only one item exists. `[array]` does not force an array for single items. Indexing into `$null` or an empty array returns `$null`, which can cause errors if you expect a value.

**PS10 — Easy:** `-eq`/`-ne` (equality), `-like` (wildcards), `-match` (regex). Case sensitivity variants add 'c' (`-ceq`). `-contains` checks if a collection contains a value; `-in` checks if a value is inside a list.

**PS11 — Easy:** Modules (.psm1) contain logic/functions; Manifests (.psd1) provide metadata; Binary modules are compiled DLLs. `Import-Module` loads these into the current scope.

**PS12 — Easy:** String interpolation: `"Value is $var"`. Single quotes `'...'` prevent expansion. Expressions in double quotes: `"Result: $(Get-Date)"`. Here-strings use `@" ... "@` and allow multi-line strings without escaping internal quotes.

**PS13 — Easy:** `Get-Member` shows properties, methods, and NoteProperties of an object. Properties/Methods are standard members; NoteProperties are additional attributes. `Select-Object` filters columns (properties); `Where-Object` filters rows (objects based on criteria).

**PS14 — Medium:** PowerShell classes (v5+) have limitations compared to C# (no interfaces, limited inheritance). Use Classes for complex stateful objects with many related behaviors; use Functions for discrete actions or "verbs".

**PS15 — Medium:** `[CmdletBinding()]` enables advanced features like `-Verbose`, `-WhatIf`, and parameter sets. `SupportsShouldProcess` adds `-WhatIf`/`-Confirm`. Begin block runs once; Process block runs for every pipeline item; End block runs once at completion.

