Thinking Process:

1.  **Analyze the Request:**
    *   Role: Senior Infrastructure and Software Engineer.
    *   Task: Answer 40 specific questions (20 Networking, 20 Linux).
    *   Format: Label each answer with its question ID (e.g., N1, L5, G3).
    *   Style: Thorough but concise. Direct answers.
    *   Input: A list of 40 questions categorized into Networking (N1-N20) and Linux (L1-L20).

2.  **Process Networking Questions (N1-N20):**
    *   N1: L2 vs L3 switch.
    *   N2: IP subnet calculation (10.0.5.37/20).
    *   N3: TCP handshake + lost ACK.
    *   N4: SNAT vs DNAT + examples.
    *   N5: SSL cert mismatch causes.
    *   N6: VLAN vs VxLAN + use case.
    *   N7: Routing issue (eth1 in, eth0 out) + Policy Routing fix.
    *   N8: BGP path selection (5 attributes).
    *   N9: VxLAN + IPsec MTU math.
    *   N10: ARP + Gratuitous ARP.
    *   N11: Public vs Private IP + RFC 1918 ranges.
    *   N12: DNS + A, CNAME, AAAA.
    *   N13: DHCP + DORA.
    *   N14: Hub vs Switch vs Router + OSI layers.
    *   N15: Half vs Full duplex + modern Ethernet.
    *   N16: TTL + traceroute.
    *   N17: NAT gateway + Static/Dynamic/PAT.
    *   N18: ECMP + hashing + asymmetric flows/firewalls.
    *   N19: TCP window scaling + BDP vs window.
    *   N20: 802.1Q trunk + Linux sub-interfaces + frame format.

3.  **Process Linux Questions (L1-L20):**
    *   L1: Hard link vs Symlink.
    *   L2: Find files > 100MB.
    *   L3: State D (uninterruptible sleep) + kill -9.
    *   L4: Cgroups v1 vs v2 + systemd preference.
    *   L5: nftables vs iptables + kernel handling.
    *   L6: df 100% vs du low.
    *   L7: Boot process (UEFI -> systemd).
    *   L8: RAM/Swap/OOM explanation + tunables.
    *   L9: ip netns + containers.
    *   L10: SIGTERM/KILL/QUIT + catchability.
    *   L11: Stdout/err/in + redirection.
    *   L12: chmod 755.
    *   L13: Root vs Sudo.
    *   L14: Package manager + defaults.
    *   L15: /etc/fstab + misconfig.
    *   L16: LVM + extend running.
    *   L17: I/O scheduler (mq-deadline, bfq, none) + change.
    *   L18: Load average + I/O wait + diagnosis.
    *   L19: SELinux + modes + troubleshooting port binding.
    *   L20: Page faults (minor/major) + THP.

4.  **Drafting Answers (Iterative refinement for conciseness and accuracy):**

    *   *N1:* L2 forwards based on MAC. L3 routes based on IP (routing table).
    *   *N2:* /20 mask is 255.255.240.0. 10.0.5.37 -> 10.0.0.0/20? Wait. 10.0.5.37. 20 bits. 10.0.0.0 is 10.0.0.0. 10.0.5.37 is in 10.0.0.0/20? 5 is 00000101. 20 bits means last 4 bits of second octet are host. 0.0.0.0 to 0.15.255. So 10.0.0.0/20. Network: 10.0.0.0. Broadcast: 10.0.15.255.
    *   *N3:* SYN, SYN-ACK, ACK. Lost ACK: Server retransmits SYN-ACK, client times out connection.
    *   *N4:* SNAT: Source change (Outbound). DNAT: Dest change (Inbound). Ex: SNAT: Internal server accessing internet. DNAT: Web server behind NAT.
    *   *N5:* Cert not installed, wrong domain, self-signed, expired, wrong SAN.
    *   *N6:* VLAN: Layer 2, hardware specific, 4096 VLANs. VxLAN: Layer 2 over Layer 3, overlay, 16M IDs. Use VxLAN for multi-tenant cloud, spanning across L3 boundaries.
    *   *N7:* Routing table default route. Fix: Add policy routing table, rule for eth1, set default gw for that table.
    *   *N8:* Weight, Local Pref, AS Path, Origin, MED, etc. Order: Weight > Local Pref > AS Path > Origin > MED > eBGP > iBGP.
    *   *N9:* VxLAN adds 50 bytes header. IPsec adds 20 (ESP) + 20 (AH) or 20 (ESP). Total overhead ~70-90 bytes. 1500 - 50 - 20 = 1430.
    *   *N10:* ARP resolves IP to MAC. Gratuitous ARP announces IP/MAC change or detects conflict.
    *   *N11:* Public: Internet routable. Private: RFC 1918 (10.0.0.0/8, 172.16.0.0/12, 192.168.0.0/16).
    *   *N12:* DNS resolves names to IPs. A: IPv4. CNAME: Alias. AAAA: IPv6.
    *   *N13:* DHCP. DORA: Discover, Offer, Request, Ack.
    *   *N14:* Hub: Layer 1, broadcast. Switch: Layer 2, MAC. Router: Layer 3, IP.
    *   *N15:* Half: one way at a time. Full: both ways. Modern: Full.
    *   *N16:* TTL limits hops. Traceroute sends packets with TTL=1,2,3... waits for ICMP Time Exceeded.
    *   *N17:* NAT gateway translates private to public. Static: 1-to-1 fixed. Dynamic: Pool. PAT: Many-to-1 (ports).
    *   *N18:* ECMP uses hash (src IP, dst IP, ports). Asymmetric flows: Firewall sees packet 1 on path A, reply on path B, state mismatch.
    *   *N19:* BDP = Bandwidth * RTT. Window must be >= BDP. 10MB = 10,000,000 bytes. 64KB = 65,536 bytes. Window too small. Scaling increases window size in 32-bit.
    *   *N20:* 802.1Q adds 4-byte tag. Linux: `ip link add link eth0 name eth0.10 type vlan id 10`. Frame: EtherType 0x8100 + 2 bytes VLAN ID + 2 bytes Priority.

    *   *L1:* Hard link: inode shared, same file. Symlink: separate inode, points to path.
    *   *L2:* `find /var/log -type f -size +100M`.
    *   *L3:* D = waiting for I/O. Cannot kill with -9 (SIGKILL) because kernel holds lock.
    *   *L4:* v1: hierarchy (cpu, memory, etc). v2: unified hierarchy, cgroup v2. Systemd prefers v2 (simpler, unified hierarchy).
    *   *L5:* iptables: legacy, netfilter. nftables: new, unified, faster. Kernel handles both via netfilter hooks, nftables is the new frontend.
    *   *L6:* Inode limit or deleted files still referenced by open file descriptors.
    *   *L7:* UEFI -> Bootloader (GRUB) -> Kernel (bzImage) -> Initramfs (mount root) -> Root FS -> systemd (PID 1) -> targets.
    *   *L8:* Buff/cache is not "available" memory. OOM checks available memory (free + reclaimable). Tunables: `vm.min_free_kbytes`, `vm.vfs_cache_pressure`.
    *   *L9:* Network namespaces isolate network stack. Containers use them to emulate separate network environments.
    *   *L10:* TERM: graceful. KILL: immediate (no catch). QUIT: graceful (can catch).
    *   *L11:* stdout (1), stderr (2), stdin (0). `command > file 2>&1` or `command 2> file`.
    *   *L12:* 7 (rwx), 5 (r-x), 5 (r-x). Owner, Group, Others.
    *   *L13:* Root: UID 0, full access. Sudo: specific commands, requires password (usually).
    *   *L14:* Package manager installs software. Debian: apt/dpkg. RHEL: dnf/yum.
    *   *L15:* Mount points. Misconfig: boot failure or filesystem not mounted.
    *   *L16:* LVM manages storage. PV (disk), VG (pool), LV (volume). Extend: `lvextend -L +10G /dev/vg/lv`.
    *   *L17:* Scheduler orders I/O requests. mq-deadline: latency. bfq: fairness. none: no scheduling. Change: `echo mq-deadline > /sys/block/sda/queue/scheduler`.
    *   *L18:* Load avg = runnable + wait. I/O wait inflates it. Diagnose: `top`, `iostat`, `netstat`.
    *   *L19:* SELinux enforces policy. Enforcing: block. Permissive: log. Disabled: no. Troubleshoot: `audit2allow`, `setsebool`.
    *   *L20:* Page fault: access memory not in RAM. Minor: page in from swap. Major: page in from disk. THP: reduces TLB misses, but fragmentation/slowness on startup. Disable if fragmentation issues.

5.  **Review and Refine:**
    *   Check constraints: Label with ID. Be thorough but concise.
    *   Ensure N9 math is clear.
    *   Ensure N7 fix is specific (policy routing).
    *   Ensure L8 explanation is accurate regarding "available" vs "buff/cache".
    *   Ensure L19 troubleshooting steps are actionable.
    *   Ensure L20 frame format is accurate (EtherType 0x8100).

6.  **Final Polish:** Check formatting. Ensure no markdown headers interfere with the ID labels. (Actually, the prompt asks to label each answer with its question ID. I will use bold or just the ID at the start of the paragraph). I will use `**N1**` or `N1` format. Let's stick to `N1: Answer` or just `N1` followed by text. The prompt says "Label each answer with its question ID". I will put the ID at the start of the block.

    *   *Self-Correction on N2:* 10.0.5.37/20.
        *   Mask: 255.255.240.0 (11110000 in 3rd octet).
        *   10.0.5.37 & 255.255.240.0 = 10.0.0.0.
        *   Broadcast: 10.0.15.255.
        *   Wait, 5 is 00000101. 20 bits means the first 4 bits of the 3rd octet are network. 00000101. The first 4 bits are 0000. So network is 10.0.0.0. Correct.
    *   *Self-Correction on N9:* VxLAN header is 50 bytes (8 bytes outer IP + 50 bytes VxLAN? No. VxLAN encapsulates Ethernet frame. VxLAN header is 8 bytes. Outer IP header 20 bytes. Outer UDP header 8 bytes. Total overhead = 20 + 8 + 8 = 36 bytes? Wait.
        *   Standard VxLAN: Outer IP (20) + Outer UDP (8) + VxLAN Header (8) = 36 bytes overhead.
        *   IPsec ESP: 20 bytes (ESP header + padding + trailer).
        *   Total overhead = 36 + 20 = 56 bytes.
        *   Max Payload = 1500 - 56 = 1444 bytes.
        *   Wait, the question asks "maximum inner payload". Inner payload usually means the original IP packet.
        *   If physical MTU is 1500.
        *   Outer IP (20) + UDP (8) + VxLAN (8) = 36.
        *   IPsec ESP (20).
        *   Total = 56.
        *   1500 - 56 = 1444.
        *   Wait, is IPsec encapsulating the VxLAN packet or the original packet? Usually IPsec encapsulates the VxLAN packet.
        *   So: Original Packet + VxLAN Header (8) + UDP (8) + IP (20) + IPsec (20).
        *   Total = Original + 56.
        *   Max Original = 1500 - 56 = 1444.
        *   Wait, some sources say VxLAN adds 50 bytes. That includes the outer IP/UDP/VxLAN.
        *   Let's check standard VxLAN overhead. VxLAN header is 8 bytes. UDP header 8 bytes. IP header 20 bytes. Total 36 bytes.
        *   Some implementations add checksums or options.
        *   Let's assume standard: 36 bytes for VxLAN tunnel.
        *   IPsec ESP adds 20 bytes (header) + 4 bytes (padding/trailer) = 24 bytes? Or just 20? Usually 20 bytes for ESP header + 4 bytes for padding/trailer.
